constellation_id,Constellation,star_id,Name,galaxy_id,Galaxy
149,Sagittarius,41,Alnasl,68,Sagittarius Dwarf
150,Sagittarius,41,Alnasl,93,Milky Way
151,Sagittarius,71,Arkab Posterior,5,Barnard's Galaxy
152,Sagittarius,71,Arkab Posterior,42,Kowal's Object
153,Sagittarius,71,Arkab Posterior,68,Sagittarius Dwarf
154,Sagittarius,71,Arkab Posterior,93,Milky Way
155,Sagittarius,72,Arkab Prior,5,Barnard's Galaxy
156,Sagittarius,72,Arkab Prior,42,Kowal's Object
157,Sagittarius,72,Arkab Prior,68,Sagittarius Dwarf
158,Sagittarius,72,Arkab Prior,93,Milky Way
159,Sagittarius,74,Ascella,5,Barnard's Galaxy
160,Sagittarius,74,Ascella,42,Kowal's Object
161,Sagittarius,74,Ascella,68,Sagittarius Dwarf
162,Sagittarius,74,Ascella,93,Milky Way
163,Sagittarius,166,Kaus Australis,5,Barnard's Galaxy
164,Sagittarius,166,Kaus Australis,42,Kowal's Object
165,Sagittarius,166,Kaus Australis,68,Sagittarius Dwarf
166,Sagittarius,166,Kaus Australis,93,Milky Way
167,Sagittarius,167,Kaus Borealis,5,Barnard's Galaxy
168,Sagittarius,167,Kaus Borealis,42,Kowal's Object
169,Sagittarius,167,Kaus Borealis,68,Sagittarius Dwarf
170,Sagittarius,167,Kaus Borealis,93,Milky Way
171,Sagittarius,168,Kaus Media,5,Barnard's Galaxy
172,Sagittarius,168,Kaus Media,42,Kowal's Object
173,Sagittarius,168,Kaus Media,68,Sagittarius Dwarf
174,Sagittarius,168,Kaus Media,93,Milky Way
175,Sagittarius,227,Nunki,5,Barnard's Galaxy
176,Sagittarius,227,Nunki,42,Kowal's Object
177,Sagittarius,227,Nunki,68,Sagittarius Dwarf
178,Sagittarius,227,Nunki,93,Milky Way
179,Sagittarius,241,Polis,5,Barnard's Galaxy
180,Sagittarius,241,Polis,42,Kowal's Object
181,Sagittarius,241,Polis,68,Sagittarius Dwarf
182,Sagittarius,241,Polis,93,Milky Way
183,Sagittarius,260,Rukbat,5,Barnard's Galaxy
184,Sagittarius,260,Rukbat,42,Kowal's Object
185,Sagittarius,260,Rukbat,68,Sagittarius Dwarf
186,Sagittarius,260,Rukbat,93,Milky Way
187,Sagittarius,302,Terebellum,5,Barnard's Galaxy
188,Sagittarius,302,Terebellum,42,Kowal's Object
189,Sagittarius,302,Terebellum,68,Sagittarius Dwarf
190,Sagittarius,302,Terebellum,93,Milky Way
191,Lyra,12,Aladfar,-1,
192,Lyra,280,Sheliak,-1,
193,Lyra,289,Sulafat,-1,
194,Lyra,316,Vega,-1,
195,Aquarius,14,Albali,2,Aquarius Dwarf
196,Aquarius,14,Albali,3,Atoms-for-Peace
197,Aquarius,65,Ancha,2,Aquarius Dwarf
198,Aquarius,65,Ancha,3,Atoms-for-Peace
199,Aquarius,98,Bunda,2,Aquarius Dwarf
200,Aquarius,98,Bunda,3,Atoms-for-Peace
201,Aquarius,263,Sadachbia,2,Aquarius Dwarf
202,Aquarius,263,Sadachbia,3,Atoms-for-Peace
203,Aquarius,265,Sadalmelik,2,Aquarius Dwarf
204,Aquarius,265,Sadalmelik,3,Atoms-for-Peace
205,Aquarius,266,Sadalsuud,2,Aquarius Dwarf
206,Aquarius,266,Sadalsuud,3,Atoms-for-Peace
207,Aquarius,283,Situla,2,Aquarius Dwarf
208,Aquarius,283,Situla,3,Atoms-for-Peace
209,Aquarius,284,Skat,2,Aquarius Dwarf
210,Aquarius,284,Skat,3,Atoms-for-Peace
211,Cygnus,15,Albireo,24,Cygnus A
212,Cygnus,15,Albireo,29,Fireworks Galaxy
213,Cygnus,32,Aljanah,24,Cygnus A
214,Cygnus,32,Aljanah,29,Fireworks Galaxy
215,Cygnus,85,Azelfafage,24,Cygnus A
216,Cygnus,85,Azelfafage,29,Fireworks Galaxy
217,Cygnus,117,Deneb,24,Cygnus A
218,Cygnus,117,Deneb,29,Fireworks Galaxy
219,Cygnus,135,Fawaris,24,Cygnus A
220,Cygnus,135,Fawaris,29,Fireworks Galaxy
221,Cygnus,267,Sadr,24,Cygnus A
222,Cygnus,267,Sadr,29,Fireworks Galaxy
223,Corvus,16,Alchiba,1,Antennae Galaxies
224,Corvus,29,Algorab,1,Antennae Galaxies
225,Corvus,144,Gienah,1,Antennae Galaxies
226,Corvus,174,Kraz,1,Antennae Galaxies
227,Ursa Major,17,Alcor,8,Bode's Galaxy
